year,month,department,buildingName,energyUsage,energyType
2014,November,Department of Human Services,Gymnasium,120,natural gas
2014,December,Department of Human Services,Gymnasium,153,natural gas
2015,January,Department of Human Services,Gymnasium,104,natural gas
2015,February,Department of Human Services,Gymnasium,125,natural gas
2015,March,Department of Human Services,Gymnasium,17,natural gas
2015,April,Department of Human Services,Gymnasium,0,natural gas
2015,May,Department of Human Services,Gymnasium,9,natural gas
2015,June,Department of Human Services,Gymnasium,0,natural gas
2014,July,Department of Human Services,Administration,102,natural gas
2014,August,Department of Human Services,Administration,120,natural gas
2014,September,Department of Human Services,Administration,186,natural gas
2014,October,Department of Human Services,Administration,203,natural gas
2014,November,Department of Human Services,Administration,492,natural gas
2014,December,Department of Human Services,Administration,566,natural gas
2015,January,Department of Human Services,Administration,352,natural gas
2015,February,Department of Human Services,Administration,436,natural gas
2015,March,Department of Human Services,Administration,235,natural gas
2015,April,Department of Human Services,Administration,228,natural gas
2015,May,Department of Human Services,Administration,169,natural gas
2015,June,Department of Human Services,Administration,127,natural gas
2014,July,Department of Human Services,Platte Valley YSC,205,natural gas
2014,August,Department of Human Services,Platte Valley YSC,206,natural gas
2014,September,Department of Human Services,Platte Valley YSC,275,natural gas
2014,October,Department of Human Services,Platte Valley YSC,485,natural gas
2014,November,Department of Human Services,Platte Valley YSC,864,natural gas
2014,December,Department of Human Services,Platte Valley YSC,1252,natural gas
2015,January,Department of Human Services,Platte Valley YSC,873,natural gas
2015,February,Department of Human Services,Platte Valley YSC,846,natural gas
2015,March,Department of Human Services,Platte Valley YSC,599,natural gas
2015,April,Department of Human Services,Platte Valley YSC,406,natural gas
2015,May,Department of Human Services,Platte Valley YSC,377,natural gas
2015,June,Department of Human Services,Platte Valley YSC,190,natural gas
2014,July,Department of Human Services,Zier Building (All Wings),75,natural gas
2014,August,Department of Human Services,Zier Building (All Wings),75,natural gas
2014,September,Department of Human Services,Zier Building (All Wings),134,natural gas
2014,October,Department of Human Services,Zier Building (All Wings),314,natural gas
2014,November,Department of Human Services,Zier Building (All Wings),680,natural gas
2014,December,Department of Human Services,Zier Building (All Wings),838,natural gas
2015,January,Department of Human Services,Zier Building (All Wings),776,natural gas
2015,February,Department of Human Services,Zier Building (All Wings),673,natural gas
2015,March,Department of Human Services,Zier Building (All Wings),524,natural gas
2015,April,Department of Human Services,Zier Building (All Wings),420,natural gas
2015,May,Department of Human Services,Zier Building (All Wings),364,natural gas
2015,June,Department of Human Services,Zier Building (All Wings),88,natural gas
2014,July,Department of Human Services,Kipling Village - Jade House,4,natural gas
2014,August,Department of Human Services,Kipling Village - Jade House,4,natural gas
2014,September,Department of Human Services,Kipling Village - Jade House,7,natural gas
2014,October,Department of Human Services,Kipling Village - Jade House,8,natural gas
2014,November,Department of Human Services,Kipling Village - Jade House,23,natural gas
2014,December,Department of Human Services,Kipling Village - Jade House,48,natural gas
2015,January,Department of Human Services,Kipling Village - Jade House,36,natural gas
2015,February,Department of Human Services,Kipling Village - Jade House,45,natural gas
2015,March,Department of Human Services,Kipling Village - Jade House,17,natural gas
2015,April,Department of Human Services,Kipling Village - Jade House,14,natural gas
2015,May,Department of Human Services,Kipling Village - Jade House,11,natural gas
2015,June,Department of Human Services,Kipling Village - Jade House,5,natural gas
2014,July,Department of Human Services,Kipling Village - Garnet House,5,natural gas
2014,August,Department of Human Services,Kipling Village - Garnet House,5,natural gas
2014,September,Department of Human Services,Kipling Village - Garnet House,7,natural gas
2014,October,Department of Human Services,Kipling Village - Garnet House,7,natural gas
2014,November,Department of Human Services,Kipling Village - Garnet House,31,natural gas
2014,December,Department of Human Services,Kipling Village - Garnet House,38,natural gas
2015,January,Department of Human Services,Kipling Village - Garnet House,28,natural gas
2015,February,Department of Human Services,Kipling Village - Garnet House,36,natural gas
2015,March,Department of Human Services,Kipling Village - Garnet House,16,natural gas
2015,April,Department of Human Services,Kipling Village - Garnet House,16,natural gas
2015,May,Department of Human Services,Kipling Village - Garnet House,11,natural gas
2015,June,Department of Human Services,Kipling Village - Garnet House,5,natural gas
2014,July,Department of Human Services,Kipling Village - Amber House,4,natural gas
2014,August,Department of Human Services,Kipling Village - Amber House,4,natural gas
2014,September,Department of Human Services,Kipling Village - Amber House,7,natural gas
2014,October,Department of Human Services,Kipling Village - Amber House,11,natural gas
2014,November,Department of Human Services,Kipling Village - Amber House,38,natural gas
2014,December,Department of Human Services,Kipling Village - Amber House,46,natural gas
2015,January,Department of Human Services,Kipling Village - Amber House,33,natural gas
2015,February,Department of Human Services,Kipling Village - Amber House,42,natural gas
2015,March,Department of Human Services,Kipling Village - Amber House,16,natural gas
2015,April,Department of Human Services,Kipling Village - Amber House,16,natural gas
2015,May,Department of Human Services,Kipling Village - Amber House,15,natural gas
2015,June,Department of Human Services,Kipling Village - Amber House,3,natural gas
2014,July,Department of Human Services,Kipling Village - Onyx House,0,natural gas
2014,August,Department of Human Services,Kipling Village - Onyx House,0,natural gas
2014,September,Department of Human Services,Kipling Village - Onyx House,0,natural gas
2014,October,Department of Human Services,Kipling Village - Onyx House,0,natural gas
2014,November,Department of Human Services,Kipling Village - Onyx House,0,natural gas
2014,December,Department of Human Services,Kipling Village - Onyx House,0,natural gas
2015,January,Department of Human Services,Kipling Village - Onyx House,0,natural gas
2015,February,Department of Human Services,Kipling Village - Onyx House,0,natural gas
2015,March,Department of Human Services,Kipling Village - Onyx House,0,natural gas
2015,April,Department of Human Services,Kipling Village - Onyx House,0,natural gas
2015,May,Department of Human Services,Kipling Village - Onyx House,0,natural gas
2015,June,Department of Human Services,Kipling Village - Onyx House,0,natural gas
2014,July,Department of Human Services,Kipling Village - Emerald House,3,natural gas
2014,August,Department of Human Services,Kipling Village - Emerald House,3,natural gas
2014,September,Department of Human Services,Kipling Village - Emerald House,5,natural gas
2014,October,Department of Human Services,Kipling Village - Emerald House,10,natural gas
2014,November,Department of Human Services,Kipling Village - Emerald House,40,natural gas
2014,December,Department of Human Services,Kipling Village - Emerald House,48,natural gas
2015,January,Department of Human Services,Kipling Village - Emerald House,36,natural gas
2015,February,Department of Human Services,Kipling Village - Emerald House,41,natural gas
2015,March,Department of Human Services,Kipling Village - Emerald House,18,natural gas
2015,April,Department of Human Services,Kipling Village - Emerald House,14,natural gas
2015,May,Department of Human Services,Kipling Village - Emerald House,13,natural gas
2015,June,Department of Human Services,Kipling Village - Emerald House,5,natural gas
2014,July,Department of Human Services,GH - W. 105th,13,natural gas
2014,August,Department of Human Services,GH - W. 105th,12,natural gas
2014,September,Department of Human Services,GH - W. 105th,14,natural gas
2014,October,Department of Human Services,GH - W. 105th,9,natural gas
2014,November,Department of Human Services,GH - W. 105th,30,natural gas
2014,December,Department of Human Services,GH - W. 105th,44,natural gas
2015,January,Department of Human Services,GH - W. 105th,35,natural gas
2015,February,Department of Human Services,GH - W. 105th,39,natural gas
2015,March,Department of Human Services,GH - W. 105th,19,natural gas
2015,April,Department of Human Services,GH - W. 105th,16,natural gas
2015,May,Department of Human Services,GH - W. 105th,16,natural gas
2015,June,Department of Human Services,GH - W. 105th,9,natural gas
2014,July,Department of Human Services,GH - 68th,10,natural gas
2014,August,Department of Human Services,GH - 68th,14,natural gas
2014,September,Department of Human Services,GH - 68th,12,natural gas
2014,October,Department of Human Services,GH - 68th,19,natural gas
2014,November,Department of Human Services,GH - 68th,42,natural gas
2014,December,Department of Human Services,GH - 68th,52,natural gas
2015,January,Department of Human Services,GH - 68th,40,natural gas
2015,February,Department of Human Services,GH - 68th,45,natural gas
2015,March,Department of Human Services,GH - 68th,19,natural gas
2015,April,Department of Human Services,GH - 68th,19,natural gas
2015,May,Department of Human Services,GH - 68th,16,natural gas
2015,June,Department of Human Services,GH - 68th,9,natural gas
2014,July,Department of Human Services,GH - Iris,13,natural gas
2014,August,Department of Human Services,GH - Iris,13,natural gas
2014,September,Department of Human Services,GH - Iris,15,natural gas
2014,October,Department of Human Services,GH - Iris,25,natural gas
2014,November,Department of Human Services,GH - Iris,52,natural gas
2014,December,Department of Human Services,GH - Iris,59,natural gas
2015,January,Department of Human Services,GH - Iris,46,natural gas
2015,February,Department of Human Services,GH - Iris,49,natural gas
2015,March,Department of Human Services,GH - Iris,23,natural gas
2015,April,Department of Human Services,GH - Iris,24,natural gas
2015,May,Department of Human Services,GH - Iris,15,natural gas
2015,June,Department of Human Services,GH - Iris,11,natural gas
2014,July,Department of Human Services,GH - Xenon,8,natural gas
2014,August,Department of Human Services,GH - Xenon,8,natural gas
2014,September,Department of Human Services,GH - Xenon,11,natural gas
2014,October,Department of Human Services,GH - Xenon,19,natural gas
2014,November,Department of Human Services,GH - Xenon,45,natural gas
2014,December,Department of Human Services,GH - Xenon,57,natural gas
2015,January,Department of Human Services,GH - Xenon,33,natural gas
2015,February,Department of Human Services,GH - Xenon,47,natural gas
2015,March,Department of Human Services,GH - Xenon,20,natural gas
2015,April,Department of Human Services,GH - Xenon,20,natural gas
2015,May,Department of Human Services,GH - Xenon,14,natural gas
2015,June,Department of Human Services,GH - Xenon,8,natural gas
2014,July,Department of Human Services,GH - Independence,1,natural gas
2014,August,Department of Human Services,GH - Independence,10,natural gas
2014,September,Department of Human Services,GH - Independence,11,natural gas
2014,October,Department of Human Services,GH - Independence,17,natural gas
2014,November,Department of Human Services,GH - Independence,41,natural gas
2014,December,Department of Human Services,GH - Independence,50,natural gas
2015,January,Department of Human Services,GH - Independence,28,natural gas
2015,February,Department of Human Services,GH - Independence,41,natural gas
2015,March,Department of Human Services,GH - Independence,16,natural gas
2015,April,Department of Human Services,GH - Independence,23,natural gas
2015,May,Department of Human Services,GH - Independence,9,natural gas
2015,June,Department of Human Services,GH - Independence,5,natural gas
2014,July,Department of Human Services,GH - Nelson,9,natural gas
2014,August,Department of Human Services,GH - Nelson,8,natural gas
2014,September,Department of Human Services,GH - Nelson,9,natural gas
2014,October,Department of Human Services,GH - Nelson,11,natural gas
2014,November,Department of Human Services,GH - Nelson,22,natural gas
2014,December,Department of Human Services,GH - Nelson,46,natural gas
2015,January,Department of Human Services,GH - Nelson,57,natural gas
2015,February,Department of Human Services,GH - Nelson,40,natural gas
2015,March,Department of Human Services,GH - Nelson,41,natural gas
2015,April,Department of Human Services,GH - Nelson,21,natural gas
2015,May,Department of Human Services,GH - Nelson,21,natural gas
2015,June,Department of Human Services,GH - Nelson,16,natural gas
2014,July,Department of Human Services,GH - Depew,8,natural gas
2014,August,Department of Human Services,GH - Depew,11,natural gas
2014,September,Department of Human Services,GH - Depew,15,natural gas
2014,October,Department of Human Services,GH - Depew,25,natural gas
2014,November,Department of Human Services,GH - Depew,59,natural gas
2014,December,Department of Human Services,GH - Depew,74,natural gas
2015,January,Department of Human Services,GH - Depew,45,natural gas
2015,February,Department of Human Services,GH - Depew,57,natural gas
2015,March,Department of Human Services,GH - Depew,25,natural gas
2015,April,Department of Human Services,GH - Depew,25,natural gas
2015,May,Department of Human Services,GH - Depew,17,natural gas
2015,June,Department of Human Services,GH - Depew,9,natural gas
2014,July,Department of Human Services,GH - W. 49th,10,natural gas
2014,August,Department of Human Services,GH - W. 49th,11,natural gas
2014,September,Department of Human Services,GH - W. 49th,14,natural gas
2014,October,Department of Human Services,GH - W. 49th,20,natural gas
2014,November,Department of Human Services,GH - W. 49th,35,natural gas
2014,December,Department of Human Services,GH - W. 49th,44,natural gas
2015,January,Department of Human Services,GH - W. 49th,64,natural gas
2015,February,Department of Human Services,GH - W. 49th,45,natural gas
2015,March,Department of Human Services,GH - W. 49th,47,natural gas
2015,April,Department of Human Services,GH - W. 49th,28,natural gas
2015,May,Department of Human Services,GH - W. 49th,25,natural gas
2015,June,Department of Human Services,GH - W. 49th,17,natural gas
2014,July,Department of Human Services,GH - Secrest,14,natural gas
2014,August,Department of Human Services,GH - Secrest,6,natural gas
2014,September,Department of Human Services,GH - Secrest,19,natural gas
2014,October,Department of Human Services,GH - Secrest,27,natural gas
2014,November,Department of Human Services,GH - Secrest,52,natural gas
2014,December,Department of Human Services,GH - Secrest,65,natural gas
2015,January,Department of Human Services,GH - Secrest,42,natural gas
2015,February,Department of Human Services,GH - Secrest,59,natural gas
2015,March,Department of Human Services,GH - Secrest,29,natural gas
2015,April,Department of Human Services,GH - Secrest,31,natural gas
2015,May,Department of Human Services,GH - Secrest,26,natural gas
2015,June,Department of Human Services,GH - Secrest,14,natural gas
2014,July,Department of Human Services,GH - W. 59th,12,natural gas
2014,August,Department of Human Services,GH - W. 59th,9,natural gas
2014,September,Department of Human Services,GH - W. 59th,6,natural gas
2014,October,Department of Human Services,GH - W. 59th,16,natural gas
2014,November,Department of Human Services,GH - W. 59th,36,natural gas
2014,December,Department of Human Services,GH - W. 59th,48,natural gas
2015,January,Department of Human Services,GH - W. 59th,62,natural gas
2015,February,Department of Human Services,GH - W. 59th,35,natural gas
2015,March,Department of Human Services,GH - W. 59th,28,natural gas
2015,April,Department of Human Services,GH - W. 59th,0,natural gas
2015,May,Department of Human Services,GH - W. 59th,0,natural gas
2015,June,Department of Human Services,GH - W. 59th,0,natural gas
2014,July,Department of Human Services,GH - 67th,6,natural gas
2014,August,Department of Human Services,GH - 67th,8,natural gas
2014,September,Department of Human Services,GH - 67th,10,natural gas
2014,October,Department of Human Services,GH - 67th,15,natural gas
2014,November,Department of Human Services,GH - 67th,40,natural gas
2014,December,Department of Human Services,GH - 67th,47,natural gas
2015,January,Department of Human Services,GH - 67th,38,natural gas
2015,February,Department of Human Services,GH - 67th,42,natural gas
2015,March,Department of Human Services,GH - 67th,18,natural gas
2015,April,Department of Human Services,GH - 67th,20,natural gas
2015,May,Department of Human Services,GH - 67th,14,natural gas
2015,June,Department of Human Services,GH - 67th,9,natural gas
2014,July,Department of Human Services,GH - Lamar,10,natural gas
2014,August,Department of Human Services,GH - Lamar,11,natural gas
2014,September,Department of Human Services,GH - Lamar,14,natural gas
2014,October,Department of Human Services,GH - Lamar,15,natural gas
2014,November,Department of Human Services,GH - Lamar,37,natural gas
2014,December,Department of Human Services,GH - Lamar,43,natural gas
2015,January,Department of Human Services,GH - Lamar,32,natural gas
2015,February,Department of Human Services,GH - Lamar,37,natural gas
2015,March,Department of Human Services,GH - Lamar,14,natural gas
2015,April,Department of Human Services,GH - Lamar,17,natural gas
2015,May,Department of Human Services,GH - Lamar,14,natural gas
2015,June,Department of Human Services,GH - Lamar,9,natural gas
2014,July,Department of Human Services,GH - Perry,7,natural gas
2014,August,Department of Human Services,GH - Perry,7,natural gas
2014,September,Department of Human Services,GH - Perry,9,natural gas
2014,October,Department of Human Services,GH - Perry,14,natural gas
2014,November,Department of Human Services,GH - Perry,36,natural gas
2014,December,Department of Human Services,GH - Perry,43,natural gas
2015,January,Department of Human Services,GH - Perry,42,natural gas
2015,February,Department of Human Services,GH - Perry,41,natural gas
2015,March,Department of Human Services,GH - Perry,19,natural gas
2015,April,Department of Human Services,GH - Perry,16,natural gas
2015,May,Department of Human Services,GH - Perry,17,natural gas
2015,June,Department of Human Services,GH - Perry,9,natural gas
2014,July,Department of Human Services,GH - 53rd,7,natural gas
2014,August,Department of Human Services,GH - 53rd,8,natural gas
2014,September,Department of Human Services,GH - 53rd,7,natural gas
2014,October,Department of Human Services,GH - 53rd,10,natural gas
2014,November,Department of Human Services,GH - 53rd,35,natural gas
2014,December,Department of Human Services,GH - 53rd,43,natural gas
2015,January,Department of Human Services,GH - 53rd,32,natural gas
2015,February,Department of Human Services,GH - 53rd,33,natural gas
2015,March,Department of Human Services,GH - 53rd,16,natural gas
2015,April,Department of Human Services,GH - 53rd,15,natural gas
2015,May,Department of Human Services,GH - 53rd,13,natural gas
2015,June,Department of Human Services,GH - 53rd,2,natural gas
2014,July,Department of Human Services,Sunada Learning Center,7,natural gas
2014,August,Department of Human Services,Sunada Learning Center,14,natural gas
2014,September,Department of Human Services,Sunada Learning Center,47,natural gas
2014,October,Department of Human Services,Sunada Learning Center,55,natural gas
2014,November,Department of Human Services,Sunada Learning Center,148,natural gas
2014,December,Department of Human Services,Sunada Learning Center,181,natural gas
2015,January,Department of Human Services,Sunada Learning Center,109,natural gas
2015,February,Department of Human Services,Sunada Learning Center,143,natural gas
2015,March,Department of Human Services,Sunada Learning Center,65,natural gas
2015,April,Department of Human Services,Sunada Learning Center,71,natural gas
2015,May,Department of Human Services,Sunada Learning Center,39,natural gas
2015,June,Department of Human Services,Sunada Learning Center,6,natural gas
2014,July,Department of Human Services,Truck Scale House,0,natural gas
2014,August,Department of Human Services,Truck Scale House,0,natural gas
2014,September,Department of Human Services,Truck Scale House,0,natural gas
2014,October,Department of Human Services,Truck Scale House,0,natural gas
2014,November,Department of Human Services,Truck Scale House,0,natural gas
2014,December,Department of Human Services,Truck Scale House,0,natural gas
2015,January,Department of Human Services,Truck Scale House,0,natural gas
2015,February,Department of Human Services,Truck Scale House,0,natural gas
2015,March,Department of Human Services,Truck Scale House,0,natural gas
2015,April,Department of Human Services,Truck Scale House,0,natural gas
2015,May,Department of Human Services,Truck Scale House,0,natural gas
2015,June,Department of Human Services,Truck Scale House,0,natural gas
2014,July,Department of Human Services,PYC Support Building,9,natural gas
2014,August,Department of Human Services,PYC Support Building,8,natural gas
2014,September,Department of Human Services,PYC Support Building,9,natural gas
2014,October,Department of Human Services,PYC Support Building,9,natural gas
2014,November,Department of Human Services,PYC Support Building,11,natural gas
2014,December,Department of Human Services,PYC Support Building,10,natural gas
2015,January,Department of Human Services,PYC Support Building,11,natural gas
2015,February,Department of Human Services,PYC Support Building,9,natural gas
2015,March,Department of Human Services,PYC Support Building,10,natural gas
2015,April,Department of Human Services,PYC Support Building,8,natural gas
2015,May,Department of Human Services,PYC Support Building,9,natural gas
2015,June,Department of Human Services,PYC Support Building,8,natural gas
2014,July,Department of Human Services,DFM Pump House,0,natural gas
2014,August,Department of Human Services,DFM Pump House,0,natural gas
2014,September,Department of Human Services,DFM Pump House,0,natural gas
2014,October,Department of Human Services,DFM Pump House,0,natural gas
2014,November,Department of Human Services,DFM Pump House,0,natural gas
2014,December,Department of Human Services,DFM Pump House,0,natural gas
2015,January,Department of Human Services,DFM Pump House,0,natural gas
2015,February,Department of Human Services,DFM Pump House,0,natural gas
2015,March,Department of Human Services,DFM Pump House,0,natural gas
2015,April,Department of Human Services,DFM Pump House,0,natural gas
2015,May,Department of Human Services,DFM Pump House,0,natural gas
2015,June,Department of Human Services,DFM Pump House,0,natural gas
2014,July,Department of Human Services,SMHMAS Master,9481,natural gas
2014,August,Department of Human Services,SMHMAS Master,9561,natural gas
2014,September,Department of Human Services,SMHMAS Master,10187,natural gas
2014,October,Department of Human Services,SMHMAS Master,4437,natural gas
2014,November,Department of Human Services,SMHMAS Master,6561,natural gas
2014,December,Department of Human Services,SMHMAS Master,15507,natural gas
2015,January,Department of Human Services,SMHMAS Master,23872,natural gas
2015,February,Department of Human Services,SMHMAS Master,1818,natural gas
2015,March,Department of Human Services,SMHMAS Master,1266,natural gas
2015,April,Department of Human Services,SMHMAS Master,254,natural gas
2015,May,Department of Human Services,SMHMAS Master,16092,natural gas
2015,June,Department of Human Services,SMHMAS Master,10970,natural gas
2014,July,Department of Human Services,John Powell Core A,209,natural gas
2014,August,Department of Human Services,John Powell Core A,212,natural gas
2014,September,Department of Human Services,John Powell Core A,233,natural gas
2014,October,Department of Human Services,John Powell Core A,313,natural gas
2014,November,Department of Human Services,John Powell Core A,454,natural gas
2014,December,Department of Human Services,John Powell Core A,538,natural gas
2015,January,Department of Human Services,John Powell Core A,573,natural gas
2015,February,Department of Human Services,John Powell Core A,447,natural gas
2015,March,Department of Human Services,John Powell Core A,406,natural gas
2015,April,Department of Human Services,John Powell Core A,343,natural gas
2015,May,Department of Human Services,John Powell Core A,294,natural gas
2015,June,Department of Human Services,John Powell Core A,211,natural gas
2014,July,Department of Human Services,John Powell Core B,14,natural gas
2014,August,Department of Human Services,John Powell Core B,14,natural gas
2014,September,Department of Human Services,John Powell Core B,26,natural gas
2014,October,Department of Human Services,John Powell Core B,36,natural gas
2014,November,Department of Human Services,John Powell Core B,82,natural gas
2014,December,Department of Human Services,John Powell Core B,102,natural gas
2015,January,Department of Human Services,John Powell Core B,74,natural gas
2015,February,Department of Human Services,John Powell Core B,86,natural gas
2015,March,Department of Human Services,John Powell Core B,45,natural gas
2015,April,Department of Human Services,John Powell Core B,43,natural gas
2015,May,Department of Human Services,John Powell Core B,39,natural gas
2015,June,Department of Human Services,John Powell Core B,15,natural gas
2014,July,Department of Human Services,Spring Creek Youth Services Center,168,natural gas
2014,August,Department of Human Services,Spring Creek Youth Services Center,200,natural gas
2014,September,Department of Human Services,Spring Creek Youth Services Center,261,natural gas
2014,October,Department of Human Services,Spring Creek Youth Services Center,447,natural gas
2014,November,Department of Human Services,Spring Creek Youth Services Center,1075,natural gas
2014,December,Department of Human Services,Spring Creek Youth Services Center,1278,natural gas
2015,January,Department of Human Services,Spring Creek Youth Services Center,1091,natural gas
2015,February,Department of Human Services,Spring Creek Youth Services Center,1237,natural gas
2015,March,Department of Human Services,Spring Creek Youth Services Center,547,natural gas
2015,April,Department of Human Services,Spring Creek Youth Services Center,503,natural gas
2015,May,Department of Human Services,Spring Creek Youth Services Center,512,natural gas
2015,June,Department of Human Services,Spring Creek Youth Services Center,175,natural gas
2014,July,Department of Human Services,GH - Wiggins,1,natural gas
2014,August,Department of Human Services,GH - Wiggins,1,natural gas
2014,September,Department of Human Services,GH - Wiggins,5,natural gas
2014,October,Department of Human Services,GH - Wiggins,10,natural gas
2014,November,Department of Human Services,GH - Wiggins,37,natural gas
2014,December,Department of Human Services,GH - Wiggins,44,natural gas
2015,January,Department of Human Services,GH - Wiggins,30,natural gas
2015,February,Department of Human Services,GH - Wiggins,34,natural gas
2015,March,Department of Human Services,GH - Wiggins,14,natural gas
2015,April,Department of Human Services,GH - Wiggins,12,natural gas
2015,May,Department of Human Services,GH - Wiggins,8,natural gas
2015,June,Department of Human Services,GH - Wiggins,1,natural gas
2014,July,Department of Human Services,GH - Galatea,5,natural gas
2014,August,Department of Human Services,GH - Galatea,5,natural gas
2014,September,Department of Human Services,GH - Galatea,8,natural gas
2014,October,Department of Human Services,GH - Galatea,15,natural gas
2014,November,Department of Human Services,GH - Galatea,40,natural gas
2014,December,Department of Human Services,GH - Galatea,55,natural gas
2015,January,Department of Human Services,GH - Galatea,41,natural gas
2015,February,Department of Human Services,GH - Galatea,44,natural gas
2015,March,Department of Human Services,GH - Galatea,20,natural gas
2015,April,Department of Human Services,GH - Galatea,19,natural gas
2015,May,Department of Human Services,GH - Galatea,13,natural gas
2015,June,Department of Human Services,GH - Galatea,5,natural gas
2014,July,Department of Human Services,GH - S. Bayfield,4,natural gas
2014,August,Department of Human Services,GH - S. Bayfield,4,natural gas
2014,September,Department of Human Services,GH - S. Bayfield,9,natural gas
2014,October,Department of Human Services,GH - S. Bayfield,14,natural gas
2014,November,Department of Human Services,GH - S. Bayfield,45,natural gas
2014,December,Department of Human Services,GH - S. Bayfield,60,natural gas
2015,January,Department of Human Services,GH - S. Bayfield,42,natural gas
2015,February,Department of Human Services,GH - S. Bayfield,46,natural gas
2015,March,Department of Human Services,GH - S. Bayfield,21,natural gas
2015,April,Department of Human Services,GH - S. Bayfield,17,natural gas
2015,May,Department of Human Services,GH - S. Bayfield,14,natural gas
2014,November,Department of Human Services,GH - B Road,29,natural gas
2015,June,Department of Human Services,GH - S. Bayfield,5,natural gas
2014,July,Department of Human Services,GH - 268 W. Harmony,4,natural gas
2014,August,Department of Human Services,GH - 268 W. Harmony,4,natural gas
2014,September,Department of Human Services,GH - 268 W. Harmony,7,natural gas
2014,October,Department of Human Services,GH - 268 W. Harmony,12,natural gas
2014,November,Department of Human Services,GH - 268 W. Harmony,37,natural gas
2014,December,Department of Human Services,GH - 268 W. Harmony,49,natural gas
2015,January,Department of Human Services,GH - 268 W. Harmony,32,natural gas
2015,February,Department of Human Services,GH - 268 W. Harmony,40,natural gas
2015,March,Department of Human Services,GH - 268 W. Harmony,16,natural gas
2015,April,Department of Human Services,GH - 268 W. Harmony,16,natural gas
2015,May,Department of Human Services,GH - 268 W. Harmony,12,natural gas
2015,June,Department of Human Services,GH - 268 W. Harmony,4,natural gas
2014,July,Department of Human Services,GH - 272 W. Harmony,6,natural gas
2014,August,Department of Human Services,GH - 272 W. Harmony,6,natural gas
2014,September,Department of Human Services,GH - 272 W. Harmony,7,natural gas
2014,October,Department of Human Services,GH - 272 W. Harmony,12,natural gas
2014,November,Department of Human Services,GH - 272 W. Harmony,39,natural gas
2014,December,Department of Human Services,GH - 272 W. Harmony,53,natural gas
2015,January,Department of Human Services,GH - 272 W. Harmony,35,natural gas
2015,February,Department of Human Services,GH - 272 W. Harmony,41,natural gas
2015,March,Department of Human Services,GH - 272 W. Harmony,17,natural gas
2015,April,Department of Human Services,GH - 272 W. Harmony,16,natural gas
2015,May,Department of Human Services,GH - 272 W. Harmony,13,natural gas
2015,June,Department of Human Services,GH - 272 W. Harmony,6,natural gas
2014,July,Department of Human Services,GH - E. Hahns Peak,7,natural gas
2014,August,Department of Human Services,GH - E. Hahns Peak,6,natural gas
2014,September,Department of Human Services,GH - E. Hahns Peak,9,natural gas
2014,October,Department of Human Services,GH - E. Hahns Peak,19,natural gas
2014,November,Department of Human Services,GH - E. Hahns Peak,51,natural gas
2014,December,Department of Human Services,GH - E. Hahns Peak,65,natural gas
2015,January,Department of Human Services,GH - E. Hahns Peak,43,natural gas
2015,February,Department of Human Services,GH - E. Hahns Peak,45,natural gas
2015,March,Department of Human Services,GH - E. Hahns Peak,21,natural gas
2015,April,Department of Human Services,GH - E. Hahns Peak,21,natural gas
2015,May,Department of Human Services,GH - E. Hahns Peak,15,natural gas
2015,June,Department of Human Services,GH - E. Hahns Peak,9,natural gas
2014,July,Department of Human Services,GH - E. Maher,6,natural gas
2014,August,Department of Human Services,GH - E. Maher,6,natural gas
2014,September,Department of Human Services,GH - E. Maher,10,natural gas
2014,October,Department of Human Services,GH - E. Maher,14,natural gas
2014,November,Department of Human Services,GH - E. Maher,43,natural gas
2014,December,Department of Human Services,GH - E. Maher,54,natural gas
2015,January,Department of Human Services,GH - E. Maher,38,natural gas
2015,February,Department of Human Services,GH - E. Maher,44,natural gas
2015,March,Department of Human Services,GH - E. Maher,18,natural gas
2015,April,Department of Human Services,GH - E. Maher,15,natural gas
2015,May,Department of Human Services,GH - E. Maher,12,natural gas
2015,June,Department of Human Services,GH - E. Maher,6,natural gas
2014,July,Department of Human Services,GH - S. Latimer,5,natural gas
2014,August,Department of Human Services,GH - S. Latimer,5,natural gas
2014,September,Department of Human Services,GH - S. Latimer,10,natural gas
2014,October,Department of Human Services,GH - S. Latimer,18,natural gas
2014,November,Department of Human Services,GH - S. Latimer,48,natural gas
2014,December,Department of Human Services,GH - S. Latimer,66,natural gas
2015,January,Department of Human Services,GH - S. Latimer,42,natural gas
2015,February,Department of Human Services,GH - S. Latimer,48,natural gas
2015,March,Department of Human Services,GH - S. Latimer,20,natural gas
2015,April,Department of Human Services,GH - S. Latimer,17,natural gas
2015,May,Department of Human Services,GH - S. Latimer,16,natural gas
2015,June,Department of Human Services,GH - S. Latimer,4,natural gas
2014,July,Department of Human Services,GH - S. Clarion,5,natural gas
2014,August,Department of Human Services,GH - S. Clarion,6,natural gas
2014,September,Department of Human Services,GH - S. Clarion,12,natural gas
2014,October,Department of Human Services,GH - S. Clarion,16,natural gas
2014,November,Department of Human Services,GH - S. Clarion,40,natural gas
2014,December,Department of Human Services,GH - S. Clarion,55,natural gas
2015,January,Department of Human Services,GH - S. Clarion,39,natural gas
2015,February,Department of Human Services,GH - S. Clarion,44,natural gas
2015,March,Department of Human Services,GH - S. Clarion,20,natural gas
2015,April,Department of Human Services,GH - S. Clarion,18,natural gas
